question,correct_answer,category,difficulty,explanation
"Is the Sun a star?",TRUE,Science,Easy,The Sun is a star at the center of the solar system.
"Does sound travel in a vacuum?",FALSE,Physics,Easy,Sound requires a medium like air or water to travel.
"Is the Great Wall of China visible from the moon with the naked eye?",FALSE,Geography,Medium,It is generally not visible without aid from such a distance.
"Is a group of pandas called an 'embarrassment'?",TRUE,Nature,Hard,That is the scientific collective noun for pandas.
"Was the first iPhone released in 2007?",TRUE,Technology,Easy,Steve Jobs unveiled the first iPhone on January 9, 2007.
"Is the capital of Australia Sydney?",FALSE,Geography,Easy,The capital city of Australia is Canberra.
"Does water boil at a lower temperature at high altitudes?",TRUE,Science,Medium,Lower atmospheric pressure reduces the boiling point.
"Is Gold the most abundant metal in Earth's crust?",FALSE,Science,Medium,Aluminum is the most abundant metal in the crust.
"Was Alexander the Great a pupil of Aristotle?",TRUE,History,Medium,Aristotle tutored Alexander for several years in his youth.
"Is the human heart located on the right side of the chest?",FALSE,Biology,Easy,The heart is typically located on the left side of the chest.
"Is Venus the hottest planet in our solar system?",TRUE,Space,Medium,Its thick atmosphere traps heat, reaching temperatures over 460°C.
"Was Leonardo da Vinci the painter of 'The Starry Night'?",FALSE,Art,Easy,Vincent van Gogh painted 'The Starry Night'.
"Is the Nile the longest river in the world?",TRUE,Geography,Easy,The Nile is widely considered the longest river on Earth.
"Can sharks swim backwards?",FALSE,Nature,Medium,Most sharks lack the fin structures required to swim backwards.
"Is the chemical symbol for Silver 'Au'?",FALSE,Science,Easy,'Au' is for Gold; Silver is 'Ag'.
"Was the Berlin Wall torn down in 1989?",TRUE,History,Easy,The wall fell on November 9, 1989.
"Is a triangle with all equal sides called a scalene triangle?",FALSE,Math,Easy,It is an equilateral triangle.
"Does the human body have four lungs?",FALSE,Biology,Easy,Humans have two lungs.
"Is Mount Kilimanjaro the tallest mountain in Africa?",TRUE,Geography,Easy,It is a dormant volcano in Tanzania.
"Was the internet originally a military project known as ARPANET?",TRUE,Technology,Medium,It was funded by the US Department of Defense.
"Is the Amazon rainforest located primarily in Brazil?",TRUE,Geography,Easy,Over 60% of the rainforest is in Brazil.
"Is the element Oxygen a liquid at room temperature?",FALSE,Science,Easy,Oxygen is a gas at room temperature.
"Was the Eiffel Tower intended to be a temporary structure?",TRUE,History,Medium,It was built for the 1889 World's Fair and slated for demolition after 20 years.
"Is a octopus considered a mammal?",FALSE,Nature,Easy,Octopuses are cephalopod mollusks.
"Is the speed of light faster than the speed of sound?",TRUE,Physics,Easy,Light travels at ~300,000 km/s, sound at ~0.34 km/s.
"Was the Magna Carta signed in 1215?",TRUE,History,Medium,King John signed it at Runnymede in June 1215.
"Is the Sahara the largest desert in the world?",FALSE,Geography,Hard,Antarctica is the largest desert; Sahara is the largest hot desert.
"Is the capital of Japan Osaka?",FALSE,Geography,Easy,The capital of Japan is Tokyo.
"Does the moon produce its own light?",FALSE,Space,Easy,The moon reflects light from the sun.
"Is the human brain the largest organ in the human body?",FALSE,Biology,Easy,The skin is the largest organ.
"Was George Washington the first president of the United States?",TRUE,History,Easy,He served from 1789 to 1797.
"Is a marathon 26.2 miles long?",TRUE,Sports,Easy,The official distance is 42.195 kilometers.
"Is the Pacific Ocean the deepest ocean on Earth?",TRUE,Geography,Easy,It contains the Mariana Trench, the deepest point.
"Is the square root of 144 equal to 12?",TRUE,Math,Easy,12 times 12 is 144.
"Is the Statue of Liberty a gift from France?",TRUE,History,Easy,It was dedicated in 1886 to commemorate US independence.
"Is the planet Mars known as the 'Blue Planet'?",FALSE,Space,Easy,Earth is the Blue Planet; Mars is the Red Planet.
"Can an ostrich fly?",FALSE,Nature,Easy,Ostriches are flightless birds.
"Is the capital of Canada Toronto?",FALSE,Geography,Easy,The capital of Canada is Ottawa.
"Was the Titanic sunk by an iceberg in 1912?",TRUE,History,Easy,The tragedy occurred on its maiden voyage in April 1912.
"Is the freezing point of water 0 degrees Celsius?",TRUE,Science,Easy,At standard atmospheric pressure, water freezes at 0°C.
"Is a spider an insect?",FALSE,Nature,Easy,Spiders are arachnids (8 legs, not 6).
